Term,df,offset
",1987,1987,1987,2",1,293
",1987,1987,1987,2,10,50,5,00,17,38,5,50,500,5,00,50,50,2,32,17",1,294
",1987,1987,1987,20",1,295
",1987,1987,1987,20,00,2,00",1,296
",1987,1987,1987,2010,20,30,1,2,209,47,10,000,209,4",1,297
",1987,1987,1987,209,209,209,100,100,000,4",1,298
",1987,1987,1987,29,26,4",1,299
",1987,1987,1987,30,5",1,300
",1987,1987,1987,4",11,301
",1987,1987,1987,4,00",1,312
",1987,1987,1987,4,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15",1,313
",1987,1987,1987,4,18,20",1,314
",1987,1987,1987,40,4,50,2",1,315
",1987,1987,1987,45,20,4",1,316
",1987,1987,1987,5",1,317
",1987,1987,1987,5,1,2",1,318
",1987,1987,1987,5,10,22",1,319
",1987,1987,1987,5,4,48",1,320
",1987,1987,1987,5,6,725,4",1,321
",1987,1987,1987,50,60",1,322
",1987,1987,1987,50,60,714,38,1,4",1,323
",1987,1987,1987,6,4",1,324
",1987,1987,1987,60,80,60,50,60,5,00,5,7",1,325
",1987,1987,1987,7",1,326
",1987,1987,1987,7,2,80,4",1,327
",1987,1987,1987,70,10,80",1,328
",1987,1987,1987,80",1,329
",1987,1987,4",1,330
",1990,1990,1987,1986,5000,5000",1,331
",2,1987,2,1987,1987,1967,60,1,2,3,1,3,10,90",1,332
",3,1987,3,1987,1987",1,333
",3,1987,3,1987,1987,606,272,9620,606,257,8781",1,334
00+,1,335
100%,1,336
13th,1,337
18th,2,338
1942/1986,1,340
1st,1,341
20th,1,342
25%,1,343
3/4,2,344
30%,1,346
4/+4,1,347
4th,1,348
5+,1,349
70%,1,350
90%,1,351
9mm,1,352
`we,1,353
a+,2,354
abandon,2,356
abandoned,3,358
abc,1,361
abel,1,362
ability,8,363
able,11,371
abo,3,382
abound,1,385
abounding,1,386
about,88,387
above,120,475
abrasive,1,595
absolute,1,596
absolutely,6,597
absorb,1,603
absorbing,1,604
abstract,1,605
absurd,6,606
absurdity,3,612
absurdly,2,615
abuse,2,617
abusing,1,619
academy,3,620
acccept,1,623
accent,4,624
accentuated,1,628
accept,120,629
acceptance,5,749
accepted,2,754
accident,7,756
accidentally,1,763
acclaim,1,764
acclaimed,1,765
accolade,1,766
accompany,1,767
accompanying,2,768
accomplish,1,770
accomplished,2,771
accomplishment,2,773
according,3,775
accordingly,1,778
account,4,779
accountant,2,783
accounting,1,785
accuracy,3,786
accurate,7,789
accurately,2,796
accusation,1,798
achieve,4,799
achieved,1,803
achievement,2,804
achieving,1,806
acknowledge,1,807
acquaint,1,808
acquaintance,1,809
acquire,1,810
acre,1,811
across,2,812
act,11,814
acted,1,825
acting,27,826
action,40,853
action/suspense,1,893
actioner,1,894
actively,1,895
activity,2,896
actor,28,898
actress,5,926
actresse,3,931
actual,1,934
actually,31,935
ad,3,966
adam,4,969
adaptability,1,973
adaptation,6,974
adapted,1,980
add,12,981
added,6,993
addict,2,999
addiction,1,1001
adding,2,1002
addition,7,1004
address,1,1011
adequate,2,1012
adequately,1,1014
adhere,1,1015
adison,1,1016
adjusted,1,1017
admirably,1,1018
admire,1,1019
admired,2,1020
admission,2,1022
admit,6,1024
admittedly,3,1030
admitting,1,1033
adolescent,2,1034
adoption,1,1036
adorable,1,1037
adoration,1,1038
adored,1,1039
adult,6,1040
adulthood,1,1046
advance,3,1047
advanced,1,1050
advantage,1,1051
adventure,10,1052
adventure/comedy,1,1062
adventurous,1,1063
advertised,4,1064
advice,2,1068
aegean,1,1070
aerobic,1,1071
afar,1,1072
affair,4,1073
affect,1,1077
affected,2,1078
affecting,1,1080
affection,5,1081
affectionate,2,1086
affiliation,1,1088
afford,1,1089
afforded,1,1090
afghan,1,1091
afghanistan,1,1092
africa,2,1093
african,2,1095
after,55,1097
aftermath,1,1152
afternoon,3,1153
afterward,5,1156
again,19,1161
against,15,1180
age,10,1195
aged,1,1205
agent,11,1206
aggravating,1,1217
aging,4,1218
agnostic,1,1222
agnus,1,1223
ago,10,1224
agony,1,1234
agree,2,1235
agreed,1,1237
agreement,1,1238
aha,1,1239
ahead,2,1240
ailing,1,1242
aimed,3,1243
air,8,1246
airplane,4,1254
airport,1,1258
aisle,1,1259
ak,1,1260
aka,28,1261
akalati,1,1289
akgua,5,1290
akira,1,1295
al,5,1296
alan,1,1301
alarm,1,1302
albany,1,1303
albeit,1,1304
albert,4,1305
albino,1,1309
album,1,1310
alchemist,1,1311
alec,3,1312
alex,5,1315
alexander,3,1320
alfred,2,1323
alger,1,1325
algerian,1,1326
algier,1,1327
alia,1,1328
alien,8,1329
alike,1,1337
alive,2,1338
all,120,1340
allan,1,1460
allegory,2,1461
allegra,28,1463
allen,3,1491
alley,1,1494
allow,10,1495
allowed,1,1505
allowing,2,1506
allusion,1,1508
ally,3,1509
almeida,1,1512
almost,30,1513
alone,5,1543
along,25,1548
alongside,1,1573
aloof,1,1574
alot,1,1575
aloud,1,1576
already,11,1577
alright,2,1588
also,55,1590
alternate,1,1645
alternative,1,1646
although,13,1647
altman,1,1660
aluminum,1,1661
alway,25,1662
am,15,1687
amadeus,1,1702
amalgamation,1,1703
amateurish,1,1704
amaze,1,1705
amazed,1,1706
amazing,7,1707
amazingly,1,1714
amber,1,1715
ambiguity,1,1716
ambition,1,1717
ambitious,4,1718
ameche,1,1722
america,8,1723
american,10,1731
americana,1,1741
amerika,1,1742
amicably,1,1743
amigo,1,1744
amnesia,1,1745
among,10,1746
amoral,1,1756
amount,3,1757
amplified,1,1760
amply,1,1761
amputation,1,1762
amuck,1,1763
amuse,1,1764
amusing,5,1765
analyst,1,1770
analyze,1,1771
ancestor,1,1772
anchor,2,1773
ancient,1,1775
and/or,1,1776
anderson,2,1777
andrew,2,1779
andy,1,1781
angel,5,1782
angele,3,1787
angelic,2,1790
anger,3,1792
angle,1,1795
anglo,1,1796
angry,2,1797
angst,1,1799
animal,4,1800
animated,3,1804
animation,3,1807
anki,1,1810
ann,2,1811
annet,1,1813
annette,2,1814
anniversary,1,1816
announcing,1,1817
annoying,3,1818
annual,1,1821
anomaly,1,1822
another,44,1823
anspaugh,1,1867
answer,6,1868
answered,2,1874
anthony,1,1876
anti,8,1877
antic,2,1885
anticipated,1,1887
anton,1,1888
antonutti,1,1889
anxiety,1,1890
anxious,1,1891
any,48,1892
anybody,3,1940
anyone,27,1943
anything,20,1970
anyway,6,1990
anywhere,2,1996
apace,1,1998
apart,5,1999
apartment,7,2004
apathy,1,2011
ape,1,2012
aplomb,1,2013
apocalypse,2,2014
apocalyptic,1,2016
apparent,5,2017
apparently,16,2022
appeal,6,2038
appealing,6,2044
appear,21,2050
appearance,7,2071
appeared,6,2078
appearing,2,2084
applaud,1,2086
applause,2,2087
apple,1,2089
applied,1,2090
appreciable,1,2091
appreciate,3,2092
approach,9,2095
approache,2,2104
appropriate,5,2106
approximately,3,2111
apron,1,2114
arbus,1,2115
arcade,1,2116
arch,2,2117
archaic,1,2119
archer,1,2120
archetype,2,2121
archive,1,2123
arduous,1,2124
are,120,2125
area,5,2245
aren,10,2250
argentina,1,2260
argentine,1,2261
argonaut,1,2262
argue,4,2263
argued,1,2267
arguing,1,2268
argument,1,2269
aristocratic,1,2270
arizona,7,2271
ark,2,2278
arkin,1,2280
arm,8,2281
armand,1,2289
armed,2,2290
armin,1,2292
armor,1,2293
armored,1,2294
armory,1,2295
army,4,2296
arnie,1,2300
arnold,3,2301
arose,1,2304
around,25,2305
arpa,5,2330
arquette,1,2335
arrange,1,2336
arrival,1,2337
arrive,4,2338
arriving,1,2342
arrogant,1,2343
art,120,2344
arthur,1,2464
article,4,2465
artificial,3,2469
artisan,1,2472
artist,3,2473
artistic,2,2476
artsy,1,2478
ascii,120,2479
ashe,1,2599
ashton,1,2600
aside,2,2601
ask,7,2603
asked,5,2610
asking,3,2615
asou,1,2618
aspect,2,2619
aspiring,2,2621
ass,5,2623
assailant,1,2628
assante,1,2629
assassin,1,2630
assassination,1,2631
assault,1,2632
assembled,1,2633
assertion,1,2634
assh,1,2635
assigned,1,2636
assignment,1,2637
assistance,2,2638
assistant,3,2640
associate,2,2643
associated,2,2645
association,1,2647
assortment,1,2648
assume,1,2649
assumption,1,2650
assurance,1,2651
assured,1,2652
astonishing,1,2653
astounding,2,2654
astronaut,1,2656
astronomer,2,2657
asylum,1,2659
at,98,2660
athlete,1,2758
athletic,1,2759
atkin,1,2760
atlanta,1,2761
atmosphere,4,2762
atmospheric,1,2766
atomic,1,2767
atrocity,1,2768
attached,2,2769
attachment,1,2771
attack,1,2772
attacking,1,2773
attain,1,2774
attempt,13,2775
attempted,2,2788
attempting,5,2790
attended,1,2795
attending,1,2796
attention,13,2797
attitude,4,2810
attorney,1,2814
attracted,1,2815
attracting,1,2816
attractive,4,2817
attribute,1,2821
audacious,1,2822
audience,40,2823
audio,1,2863
audition,1,2864
auggie,1,2865
aunt,2,2866
aura,1,2868
aurora,1,2869
austin,1,2870
australia,1,2871
australian,2,2872
auteuil,1,2874
authentic,1,2875
authenticity,2,2876
author,120,2878
authored,1,2998
authority,2,2999
auto,1,3001
autobiography,2,3002
automatic,2,3004
availability,1,3006
available,4,3007
avalon,2,3011
avenger,2,3013
average,8,3015
avid,1,3023
aviva,1,3024
avoid,10,3025
avoidable,1,3035
avoided,2,3036
await,1,3038
awaited,1,3039
awake,2,3040
award,6,3042
aware,2,3048
away,25,3050
awesome,1,3075
awful,2,3076
awfully,2,3078
awhile,1,3080
awkward,3,3081
awkwardness,1,3084
awry,1,3085
axel,1,3086
aykroyd,1,3087
b+,1,3088
babble,1,3089
babbled,1,3090
baby,9,3091
babylon,1,3100
babysit,1,3101
babysitter,1,3102
babysitting,4,3103
bach,1,3107
bachelor,1,3108
back,41,3109
backed,4,3150
backer,2,3154
background,6,3156
backstage,1,3162
backup,1,3163
bad,28,3164
badfilm,1,3192
badge,1,3193
badger,1,3194
badham,2,3195
badly,3,3197
badmen,1,3200
bail,1,3201
bailey,1,3202
baked,1,3203
baker,3,3204
bakker,1,3207
bald,1,3208
bale,2,3209
ballyhooed,1,3211
baltimore,2,3212
bamba,2,3214
band,4,3216
bandit,3,3220
bandito,1,3223
bang,2,3224
bangkok,1,3226
banjo,1,3227
bank,3,3228
banking,1,3231
bankrupt,1,3232
banned,1,3233
banter,2,3234
banzai,2,3236
baptism,1,3238
bar,1,3239
barbarian,2,3240
barbera,1,3242
barbi,1,3243
bare,1,3244
barely,5,3245
bargain,1,3250
baron,1,3251
baroque,1,3252
barrier,1,3253
barry,3,3254
barrymore,1,3257
barta,1,3258
base,5,3259
baseball,3,3264
based,16,3267
basement,2,3283
bashed,1,3285
basi,2,3286
basic,9,3288
basically,4,3297
basil,1,3301
basinger,2,3302
basketball,3,3304
bassinger,1,3307
batho,2,3308
bathroom,1,3310
batman,2,3311
battery,1,3313
battle,9,3314
baum,1,3323
bawdy,2,3324
bayly,1,3326
bayonetted,1,3327
bb,1,3328
bbc,1,3329
be,99,3330
beach,4,3429
bear,5,3433
bearing,1,3438
beat,10,3439
beating,1,3449
beatle,2,3450
beatty,3,3452
beautiful,9,3455
beautifully,2,3464
beauty,5,3466
beaver,30,3471
became,4,3501
because,35,3505
becker,1,3540
beckon,1,3541
become,35,3542
becoming,2,3577
bed,2,3579
bedroom,1,3581
bedtime,1,3582
beef,1,3583
been,56,3584
beer,3,3640
befalling,1,3643
befell,1,3644
before,44,3645
beg,1,3689
began,3,3690
begin,18,3693
beginning,7,3711
behave,3,3718
behaved,1,3721
behavior,2,3722
beheaded,1,3724
behind,14,3725
being,53,3739
belafonte,1,3792
belief,4,3793
believable,15,3797
believe,19,3812
believed,2,3831
believer,4,3833
belizaire,1,3837
bellowing,1,3838
belly,1,3839
belong,120,3840
beloved,2,3960
below,8,3962
belt,1,3970
ben,1,3971
bend,2,3972
bending,1,3974
beneath,1,3975
benefactor,1,3976
benefit,2,3977
benjamin,1,3979
benny,1,3980
benson,1,3981
beplumed,1,3982
beret,1,3983
bergerac,1,3984
berglund,1,3985
bergmen,1,3986
berkeley,2,3987
berle,1,3989
bernie,3,3990
bernstein,1,3993
berri,1,3994
beru,1,3995
beside,7,3996
best,45,4003
bested,1,4048
besvater,1,4049
beta,1,4050
betrayal,1,4051
better,37,4052
betterment,1,4089
between,40,4090
beverly,5,4130
beware,1,4135
bewildered,2,4136
bewilderingly,1,4138
bewilderment,1,4139
beyond,7,4140
bi,1,4147
bible,1,4148
biblical,1,4149
bicycle,1,4150
bidder,1,4151
big,21,4152
bigfoot,1,4173
bigger,4,4174
biggest,4,4178
bigotry,1,4182
biker,3,4183
bikini,2,4186
bill,6,4188
billion,1,4194
billy,6,4195
bilson,1,4201
binder,1,4202
bingo,2,4203
biographer,1,4205
biography,2,4206
bird,2,4208
birth,3,4210
birthday,1,4213
bisset,1,4214
bit,18,4215
bitching,1,4233
bite,1,4234
bitnet,1,4235
bitten,1,4236
bitter,1,4237
bittersweet,1,4238
biz,1,4239
bizarre,9,4240
bizarreness,1,4249
black,9,4250
blackballed,1,4259
blackest,1,4260
blackmail,1,4261
blade,1,4262
bladerunner,2,4263
blake,3,4265
blame,1,4268
bland,1,4269
blanket,1,4270
blast,1,4271
blaster,1,4272
blatant,4,4273
blazed,1,4277
blazing,1,4278
blazingly,1,4279
blech,1,4280
blend,1,4281
blended,1,4282
blending,1,4283
blew,1,4284
blimp,1,4285
blind,4,4286
blitzkrieg,1,4290
blob,1,4291
block,3,4292
blockbuster,1,4295
blocking,1,4296
blood,12,4297
bloodletter,1,4309
bloodletting,1,4310
bloodshed,1,4311
bloodstain,1,4312
blow,3,4313
blown,3,4316
bludgeon,1,4319
blue,8,4320
blunder,1,4328
bnk,1,4329
board,3,4330
boast,1,4333
boasted,1,4334
boat,1,4335
bob,8,4336
bobby,2,4344
body,10,4346
bodyguard,1,4356
boer,1,4357
bogomil,1,4358
boiled,2,4359
boilerplate,1,4361
bolo,1,4362
bolted,1,4363
bomb,3,4364
bombarding,1,4367
bombast,1,4368
bond,7,4369
bonet,1,4376
bonfire/party,1,4377
bonnie,1,4378
boo,1,4379
boogie,1,4380
book,19,4381
boon,1,4400
boondoggle,1,4401
boot,5,4402
booth,1,4407
boothe,1,4408
booze,1,4409
borden,1,4410
border,6,4411
bored,1,4417
boredom,1,4418
borge,1,4419
boring,8,4420
born,2,4428
borne,1,4430
borrow,4,4431
borrowed,2,4435
boss,6,4437
boston,1,4443
both,28,4444
bother,2,4472
bottin,2,4474
bottle,1,4476
bought,3,4477
bouncing,1,4480
bound,1,4481
bounty,1,4482
bouquet,1,4483
bout,3,4484
bowery,1,4487
bowie,1,4488
bowling,1,4489
box,2,4490
boxoffice,2,4492
boy,16,4494
boyfriend,2,4510
boyhood,1,4512
boyish,1,4513
brach,1,4514
brad,1,4515
brain,3,4516
brainstorm,1,4519
brakhage,1,4520
branded,1,4521
brando,1,4522
brannstrom,1,4523
brash,1,4524
brass,1,4525
brasse,1,4526
brat,1,4527
bravado,1,4528
brazil,1,4529
brazilian,1,4530
brazo,1,4531
bread,1,4532
break,7,4533
breakdown,1,4540
breaker,1,4541
breaking,1,4542
breathe,1,4543
breathtaking,2,4544
breed,1,4546
breeze,2,4547
brenda,1,4549
brewton,1,4550
brian,5,4551
briarpatch,3,4556
bribe,1,4559
bride,1,4560
bridge,2,4561
brief,4,4563
briefly,3,4567
brien,1,4570
brigg,1,4571
bright,3,4572
brilliance,1,4575
brilliant,4,4576
brilliantly,1,4580
bring,18,4581
bringing,6,4599
brisk,1,4605
britain,5,4606
british,10,4611
broad,3,4621
broadband,1,4624
broaden,1,4625
broadway,1,4626
broccoli,2,4627
broderick,1,4629
broke,2,4630
broken,120,4632
bromssen,1,4752
bronson,1,4753
bronx,1,4754
brook,2,4755
brooksfilm,1,4757
broom,1,4758
broomfield,1,4759
brosnan,2,4760
broth,1,4762
brother,16,4763
brotherhood,1,4779
brought,4,4780
brow,1,4784
brown,1,4785
bruce,5,4786
brundle,2,4791
brush,2,4793
brutal,4,4795
brutality,2,4799
brutally,1,4801
brute,1,4802
bubble,1,4803
buchalter,1,4804
buck,3,4805
buckaroo,1,4808
buckeroo,1,4809
bucketload,1,4810
bucking,1,4811
budding,1,4812
buddy,1,4813
budget,5,4814
bueller,1,4819
buff,1,4820
buffoon,1,4821
bug,1,4822
build,7,4823
buildup,1,4830
built,2,4831
bulgaria,1,4833
bulk,1,4834
bulky,1,4835
bullet,3,4836
bullied,1,4839
bum,2,4840
bumbling,1,4842
bump,2,4843
bunch,6,4845
bunyan,1,4851
buoy,1,4852
burgeoning,1,4853
burglar,2,4854
buried,1,4856
burn,3,4857
burned,4,4860
burning,1,4864
burwell,1,4865
bus,1,4866
busey,2,4867
business,12,4869
buster,1,4881
busting,1,4882
butch,1,4883
butcher,1,4884
butt,2,4885
butter,2,4887
buttock,1,4889
button,2,4890
buy,2,4892
bvd,1,4894
by,1,4895
bystander,3,4896
c+,2,4899
cabin,1,4901
cabinet,2,4902
cable,7,4904
cackling,1,4911
cadillac,1,4912
cadovax,1,4913
cafe,1,4914
cage,4,4915
cairo,1,4919
cajun,1,4920
calculated,1,4921
caliber,3,4922
california,5,4925
caligari,1,4930
call,15,4931
called,13,4946
callimastian,1,4959
callous,1,4960
calm,1,4961
calmly,1,4962
calorie,1,4963
cambodia,2,4964
cambodian,1,4966
cambon,1,4967
came,14,4968
camel,2,4982
cameo,7,4984
camera,15,4991
cameraman,2,5006
camerawork,1,5008
camouflage,1,5009
camp,3,5010
camping,1,5013
campy,1,5014
can,70,5015
canada,1,5085
canby,1,5086
cancel,1,5087
canceled,1,5088
candy,1,5089
cane,1,5090
canned,1,5091
cannon,2,5092
cannonball,1,5094
cannot,10,5095
cantankerous,1,5105
cantina,1,5106
cap,1,5107
capable,3,5108
capably,2,5111
capacity,1,5113
cape,1,5114
capital,1,5115
capitalism,1,5116
capone,3,5117
capping,1,5120
capra,3,5121
capsule,37,5124
captain,2,5161
captivated,1,5163
capture,10,5164
captured,3,5174
capturing,1,5177
car,15,5178
caravaggio,1,5193
cardboard,2,5194
care,14,5196
career,3,5210
careful,1,5213
carefully,6,5214
caribbean,1,5220
caricature,2,5221
caring,3,5223
carl,2,5226
carla,1,5228
carle,1,5229
carlo,1,5230
carol,1,5231
carole,1,5232
carradine,1,5233
carrboro,3,5234
carrie,1,5237
carried,4,5238
carrot,1,5242
carry,9,5243
carrying,2,5252
carter,2,5254
carved,1,5256
casablanca,1,5257
case,8,5258
casino,1,5266
cassidy,1,5267
cast,27,5268
castle,4,5295
cat,1,5299
cataclysmic,1,5300
catalyst,1,5301
catarina,1,5302
catch,3,5303
category,2,5306
caterpillar,1,5308
catherine,1,5309
catholic,2,5310
cathy,1,5312
catskill,1,5313
caught,1,5314
cause,5,5315
caused,6,5320
causing,3,5326
cavalier,1,5329
caveat,1,5330
cavett,1,5331
cbosgd,1,5332
cci,10,5333
ceddo,1,5343
celebrate,1,5344
celebrating,1,5345
celebration,1,5346
celebrity,2,5347
cell,1,5349
cellar,1,5350
cellist,2,5351
center,9,5353
centered,1,5362
central,3,5363
century,7,5366
cerebral,1,5373
ceremony,1,5374
certain,11,5375
certainly,17,5386
chain,3,5403
chained,1,5406
chair,1,5407
challenge,2,5408
chambon,1,5410
chameleon,1,5411
champ,1,5412
champagne,2,5413
champion,3,5415
chance,6,5418
chandler,1,5424
change,11,5425
changed,6,5436
changing,1,5442
channel,2,5443
chao,2,5445
chaotic,1,5447
chapter,2,5448
character,69,5450
characteristic,1,5519
characterization,5,5520
charge,3,5525
charged,1,5528
charging,1,5529
charisma,2,5530
charismatic,2,5532
charity,1,5534
charle,5,5535
charleen,1,5540
charlie,1,5541
charlotte,1,5542
charm,6,5543
charming,3,5549
chase,10,5552
chased,1,5562
chaser,1,5563
chaste,1,5564
chauffeuring,1,5565
cheap,3,5566
cheapness,1,5569
checked,1,5570
checking,1,5571
cheek,4,5572
cheer,1,5576
cheerful,2,5577
chef,2,5579
chemistry,2,5581
cher,3,5583
cherry,2,5586
cheryl,1,5588
chest,2,5589
chewbacca,1,5591
chewing,1,5592
chicago,8,5593
chicken,3,5601
chief,4,5604
chiefly,1,5608
chih,1,5609
child,5,5610
childhood,2,5615
childish,1,5617
childishness,1,5618
childlike,1,5619
children,15,5620
chilling,1,5635
chimp,1,5636
chimpanzee,1,5637
china,3,5638
chinese,2,5641
chip,1,5643
chistopher,1,5644
choi,1,5645
choice,3,5646
chomping,1,5649
choose,2,5650
choosing,1,5652
chore,2,5653
choreographed,2,5655
chose,3,5657
chosen,3,5660
chri,5,5663
christ,1,5668
christian,1,5669
christianity,1,5670
christie,1,5671
christma,1,5672
christopher,3,5673
chronicle,2,5676
chuck,2,5678
chuckle,1,5680
chuckling,1,5681
church,3,5682
churchill,1,5685
churlish,1,5686
churning,1,5687
cia,3,5688
cigar,3,5691
cinema,7,5694
cinematic,6,5701
cinematographer,3,5707
cinematographic,1,5710
cinematography,9,5711
cinemax,1,5720
cipher,1,5721
circuit,1,5722
circumstance,1,5723
citizen,2,5724
citizenship,1,5726
city,14,5727
civil,1,5741
civilization,1,5742
civilized,2,5743
claim,4,5745
claimed,3,5749
claiming,2,5752
claire,1,5754
clan,1,5755
clare,1,5756
clarity,1,5757
clark,4,5758
clark%ic,1,5762
clash,1,5763
clashe,1,5764
clashing,1,5765
class,7,5766
classe,2,5773
classic,10,5775
classmate,1,5785
classroom,1,5786
claude,1,5787
clavell,1,5788
clay,1,5789
clean,4,5790
cleaned,1,5794
cleaning,1,5795
clear,11,5796
clearest,1,5807
clearly,3,5808
clell,1,5811
clerk,3,5812
clever,8,5815
cleverly,1,5823
cleverness,1,5824
cliche,7,5825
cliched,1,5832
click,1,5833
client,2,5834
climactic,1,5836
climate,1,5837
climatic,2,5838
climax,1,5840
climb,3,5841
clip,4,5844
clipped,2,5848
cloaking,1,5850
clockwork,1,5851
clone,1,5852
close,10,5853
closer,2,5863
closest,3,5865
closet,1,5868
closing,3,5869
cloth,1,5872
clothe,1,5873
clothing,1,5874
cloud,1,5875
clouseau,1,5876
cloying,3,5877
club,2,5880
clue,5,5882
clumsy,1,5887
clutche,1,5888
clyde,1,5889
co,3,5890
coach,4,5893
coache,1,5897
coached,1,5898
coasted,1,5899
cobb,2,5900
cobra,1,5902
cockney,1,5903
cocky,1,5904
coconut,1,5905
code,1,5906
coen,3,5907
coffee,3,5910
cognate,1,5913
cognitive,1,5914
cohen,1,5915
coil,1,5916
coincidence,4,5917
coincidental,1,5921
col,1,5922
cold,3,5923
collaborate,2,5926
collaborated,1,5928
collaborating,1,5929
collaboration,1,5930
collachia,1,5931
collar,1,5932
collect,1,5933
collection,1,5934
collective,1,5935
collector,1,5936
college,1,5937
collin,1,5938
collision,1,5939
colonial,1,5940
color,6,5941
colored,1,5947
colorful,2,5948
colorless,1,5950
colton,1,5951
columbia,2,5952
columbo,1,5954
columbus,2,5955
column,1,5957
columnist,1,5958
com,29,5959
combat,3,5988
combine,5,5991
combined,6,5996
combining,3,6002
come,45,6005
comedian,1,6050
comedic,2,6051
comedienne,1,6053
comedy,34,6054
comedy/drama,1,6088
comfort,1,6089
comfortable,2,6090
comic,20,6092
coming,9,6112
command,1,6121
commander,1,6122
commando,2,6123
comment,14,6125
commentary,2,6139
commented,2,6141
comments/criticism,120,6143
commercial,5,6263
commit,1,6268
committed,4,6269
committee,1,6273
committing,1,6274
common,4,6275
communicate,2,6279
communist,1,6281
community,8,6282
companion,2,6290
company,10,6292
comparable,1,6302
comparative,1,6303
comparatively,1,6304
compare,1,6305
compared,2,6306
comparison,8,6308
comparitive,1,6316
compassionate,1,6317
compelling,3,6318
compete,2,6321
competent,6,6323
competing,1,6329
competition,3,6330
complain,4,6333
complained,2,6337
complaint,4,6339
complement,1,6343
complete,9,6344
completely,7,6353
completist,1,6360
complex,6,6361
complexity,2,6367
complicate,1,6369
complicated,2,6370
complicating,1,6372
complication,2,6373
compliment,1,6375
composed,1,6376
composer,1,6377
composition,1,6378
compromise,1,6379
computer,4,6380
comrade,1,6384
con,1,6385
conan,2,6386
conceit,1,6388
concentrate,1,6389
concentrated,1,6390
concentrating,1,6391
concentration,1,6392
concept,14,6393
concern,3,6407
concerned,2,6410
concert,2,6412
concession,1,6414
conclude,2,6415
concluding,1,6417
conclusion,7,6418
concoct,1,6425
condescension,1,6426
condition,3,6427
conditioning,1,6430
condo,1,6431
coney,2,6432
confidence,1,6434
confident,1,6435
confirm,2,6436
confirmed,1,6438
conflict,4,6439
confront,1,6443
confrontation,3,6444
confused,3,6447
confusing,1,6450
confusion,1,6451
conjunction,1,6452
connected,2,6453
connecticut,1,6455
connecting,1,6456
connection,4,6457
connelly,1,6461
connery,6,6462
connie,2,6468
connoisseur,1,6470
conquering,1,6471
conscience,1,6472
conscious,1,6473
consciously,2,6474
consciousness,2,6476
consensus,1,6478
consequence,3,6479
conservative,1,6482
consider,5,6483
considerable,2,6488
